-0.25,90,90
0.005,90,90
0.01,90.41,90.92
0.01,91.23,90.90
0.02,92.03,90.92
0.02,92.82,90.83
0.03,93.60,90.81
0.03,94.36,90.61
0.04,95.10,90.50
0.04,95.83,90.59
0.05,96.55,90.52
0.05,97.26,90.52
0.06,97.95,90.48
0.06,98.63,90.59
0.07,99.30,90.38
0.07,99.95,90.44
0.08,100.60,90.19
0.09,101.23,90.23
0.09,101.85,90.25
0.10,102.46,90.33
0.10,103.05,90.13
0.11,103.64,90.22
0.11,104.22,89.89
0.12,104.78,90.30
0.12,105.34,90.21
0.13,105.88,90.46
0.13,106.41,90.31
0.14,106.94,90.57
0.14,107.45,90.55
0.15,107.96,90.53
0.15,108.46,90.46
0.16,108.94,90.30
0.16,109.42,90.14
0.17,109.89,90.60
0.17,110.35,90.34
0.18,110.80,90.29
0.18,111.25,90.55
0.19,111.68,90.22
0.19,112.11,89.90
0.20,112.53,90.03
0.20,112.94,90.65
0.21,113.35,90.20
0.22,113.75,90.45
0.22,114.14,90.43
0.22,114.52,90.45
0.23,114.90,90.25
0.23,115.26,90.81
0.24,115.63,90.46
0.25,115.98,90.33
0.25,116.33,90.79
0.26,116.67,90.76
0.26,117.01,90.70
0.27,117.34,90.76
0.27,117.66,91.18
0.28,117.98,90.93
0.28,118.29,90.76
0.29,118.60,90.82
0.29,118.90,90.83
0.30,119.20,90.72
0.30,119.49,90.90
0.31,119.77,91.02
0.31,120.05,91.05
0.32,120.33,90.72
0.32,120.60,90.88
0.33,120.86,90.82
0.34,121.12,91.03
0.34,121.37,90.54
0.35,121.62,90.75
0.35,121.87,90.99
0.36,122.11,91.05
0.36,122.35,91.32
0.37,122.58,91.14
0.37,122.81,90.73
0.38,123.03,91.01
0.38,123.25,91.20
0.39,123.47,90.96
0.39,123.68,91.23
0.40,123.89,91.64
0.40,124.09,91.53
0.41,124.29,91.00
0.41,124.49,91.56
0.42,124.68,91.20
0.42,124.87,90.84
0.43,125.05,91.08
0.44,125.24,90.30
0.44,125.42,91.33
0.45,125.59,90.98
0.45,125.76,91.08
0.46,125.93,91.39
0.46,126.10,91.67
0.47,126.26,91.49
0.47,126.42,91.11
0.48,126.58,91.94
0.48,126.74,92.53
0.49,126.89,92.45
0.49,127.04,92.29
0.50,127.18,92.54
0.50,127.33,92.78
0.51,127.47,92.38
0.51,127.61,92.48
0.52,127.74,92.64
0.52,127.87,92.57
0.53,128.01,92.76
0.53,128.13,92.68
0.54,128.26,92.64
0.54,128.38,92.69
0.55,128.50,92.74
0.55,128.62,92.36
0.56,128.74,92.65
0.56,128.86,92.29
0.57,128.97,92.83
0.57,129.08,92.82
0.58,129.19,93.05
0.58,129.29,93.22
0.59,129.40,93.03
0.60,129.50,93.67
0.60,129.60,93.55
0.61,129.70,93.76
0.61,129.80,94.07
0.61,129.89,93.55
0.62,129.99,93.79
0.63,130.08,94.19
0.63,130.17,94.00
0.64,130.26,93.53
0.64,130.35,94.28
0.65,130.43,93.89
0.65,130.52,94.39
0.66,130.60,94.02
0.66,130.68,94.31
0.67,130.76,94.35
0.67,130.84,94.92
0.68,130.91,94.48
0.69,130.99,94.78
0.69,131.06,95.34
0.70,131.13,95.67
0.70,131.20,95.64
0.70,131.27,95.33
0.71,131.34,96.10
0.71,131.41,96.28
0.72,131.48,96.58
0.73,131.54,96.58
0.73,131.60,96.96
0.74,131.67,97.44
0.74,131.73,97.52
0.75,131.79,98.10
0.75,131.85,98.25
0.76,131.90,99.02
0.76,131.96,99.20
0.77,132.02,99.87
0.77,132.07,100.25
0.78,132.13,100.43
0.78,132.18,100.51
0.79,132.23,100.34
0.79,132.28,101.09
0.80,132.33,101.19
0.80,132.38,101.28
0.81,132.43,102.12
0.81,132.47,102.01
0.82,132.52,102.82
0.82,132.57,103.36
0.83,132.61,103.59
0.83,132.66,104.66
0.84,132.70,105.23
0.84,132.74,105.58
0.85,132.78,105.49
0.85,132.82,106.04
0.86,132.86,106.48
0.86,132.90,106.70
0.87,132.94,107.09
0.87,132.98,107.88
0.88,133.02,107.82
0.88,133.05,108.45
0.89,133.09,108.54
0.90,133.12,108.47
0.90,133.16,109.05
0.91,133.19,109.34
0.91,133.22,110.81
0.92,133.26,111.02
0.92,133.29,111.42
0.93,133.32,112.13
0.93,133.35,112.38
0.94,133.38,112.46
0.95,133.41,113.19
0.95,133.44,113.73
0.95,133.47,113.85
0.96,133.50,114.23
0.96,133.52,114.44
0.97,133.55,114.60
0.98,133.58,115.04
0.98,133.60,115.88
0.99,133.63,116.43
0.99,133.65,116.89
1.00,133.68,116.77
1.00,133.70,117.36
1.01,133.73,117.45
1.01,133.75,117.86
1.02,133.77,118.18
1.03,133.80,118.98
1.03,133.82,119.33
1.04,133.84,120.02
1.04,133.86,120.30
1.05,133.88,120.52
1.05,133.90,121.74
1.06,133.92,121.85
1.06,133.94,122.30
1.07,133.96,122.99
1.07,133.98,122.26
1.08,134.00,122.60
1.09,134.02,123.84
1.09,134.04,124.37
1.10,134.05,124.59
1.10,134.07,125.39
1.11,134.09,125.52
1.11,134.11,125.90
1.12,134.12,126.21
1.12,134.14,126.67
1.13,134.15,127.20
1.13,134.17,127.85
1.14,134.18,128.01
1.14,134.20,128.33
1.15,134.21,128.83
1.15,134.23,128.92
1.16,134.24,129.93
1.16,134.26,130.20
1.17,134.27,130.85
1.17,134.28,131.48
1.18,134.30,131.60
1.18,134.31,131.88
1.19,134.32,132.09
1.20,134.33,132.45
1.20,134.35,133.93
1.21,134.36,134.30
1.21,134.37,134.63
1.22,134.38,134.21
1.22,134.39,134.73
1.23,134.40,134.63
1.23,134.42,134.29
1.24,134.43,134.20
1.24,134.44,135.04
1.25,134.45,135.12
1.25,134.46,135.36
1.26,134.47,135.64
1.26,134.48,135.86
1.27,134.49,135.69
1.27,134.50,136.88
1.28,134.51,137.00
1.28,134.51,136.76
1.29,134.52,136.83
1.30,134.53,137.19
1.30,134.54,137.88
1.31,134.55,138.85
1.31,134.56,138.83
1.32,134.57,139.06
1.33,134.57,139.58
1.33,134.58,139.74
1.34,134.59,139.84
1.34,134.60,140.00
1.35,134.60,140.48
1.35,134.61,140.47
1.36,134.62,140.68
1.36,134.63,140.38
1.37,134.63,140.44
1.37,134.64,140.42
1.38,134.65,140.55
1.38,134.65,141.02
1.39,134.66,141.20
1.39,134.66,141.49
1.40,134.67,141.64
1.40,134.68,142.04
1.41,134.68,142.02
1.41,134.69,142.25
1.42,134.69,143.09
1.43,134.70,143.18
1.43,134.71,143.34
1.44,134.71,144.73
1.44,134.72,144.57
1.45,134.72,144.59
1.45,134.73,144.55
1.46,134.73,144.70
1.46,134.74,144.97
1.47,134.74,145.29
1.47,134.75,145.58
1.48,134.75,145.83
1.48,134.76,145.98
1.49,134.76,146.21
1.49,134.76,146.49
1.50,134.77,146.32
1.50,134.77,146.07
1.51,134.78,145.81
1.51,134.78,146.01
1.52,134.79,146.11
1.53,134.79,146.03
1.53,134.79,146.18
1.54,134.80,146.18
1.54,134.80,146.66
1.55,134.80,146.60
1.55,134.81,146.50
1.56,134.81,146.68
1.56,134.81,146.89
1.57,134.82,147.18
1.57,134.82,147.19
1.58,134.82,147.36
1.58,134.83,147.35
1.59,134.83,147.18
1.59,134.83,147.12
1.60,134.84,147.55
1.60,134.84,147.39
1.61,134.84,147.25
1.61,134.85,147.24
1.62,134.85,147.40
1.63,134.85,147.36
1.63,134.85,147.07
1.63,134.86,147.11
1.64,134.86,147.04
1.65,134.86,147.32
1.65,134.86,147.40
1.66,134.87,147.09
1.66,134.87,147.25
1.67,134.87,147.21
1.67,134.87,147.31
1.68,134.88,147.06
1.68,134.88,146.88
1.69,134.88,146.86
1.70,134.88,146.72
1.70,134.89,146.88
1.71,134.89,146.62
1.71,134.89,147.11
1.72,134.89,146.78
1.72,134.89,146.59
1.73,134.90,146.75
1.73,134.90,146.48
1.74,134.90,146.62
1.74,134.90,146.73
1.75,134.90,146.34
1.75,134.91,146.50
1.76,134.91,146.51
1.76,134.91,146.55
1.77,134.91,146.18
1.78,134.91,146.30
1.78,134.91,146.16
1.79,134.92,145.74
1.79,134.92,145.54
1.80,134.92,145.82
1.80,134.92,145.31
1.81,134.92,145.30
1.81,134.92,145.81
1.82,134.92,145.26
1.82,134.93,145.15
1.83,134.93,145.29
1.83,134.93,145.46
1.84,134.93,145.43
1.84,134.93,145.24
1.85,134.93,145.38
1.85,134.93,145.29
1.86,134.93,145.63
1.86,134.94,145.53
1.87,134.94,145.49
1.87,134.94,145.39
1.88,134.94,145.08
1.88,134.94,144.65
1.89,134.94,144.70
1.89,134.94,144.84
1.90,134.94,145.04
1.90,134.94,144.90
1.91,134.95,144.84
1.91,134.95,144.75
1.92,134.95,144.40
1.92,134.95,144.23
1.93,134.95,143.98
1.93,134.95,143.91
1.94,134.95,143.72
1.95,134.95,143.44
1.95,134.95,143.36
1.96,134.95,143.22
1.97,134.95,143.38
1.97,134.96,143.29
1.98,134.96,142.96
1.98,134.96,142.76
1.98,134.96,142.92
1.99,134.96,143.13
2.00,134.96,143.22
2.00,134.96,142.75
2.01,134.96,142.89
2.01,134.96,142.63
2.02,134.96,142.07
2.02,134.96,142.75
2.03,134.96,142.90
2.03,134.96,142.75
2.04,134.97,142.77
2.04,134.97,142.65
2.05,134.97,142.62
2.05,134.97,142.37
2.06,134.97,142.14
2.07,134.97,142.04
2.07,134.97,141.66
2.08,134.97,141.19
2.08,134.97,140.78
2.09,134.97,140.76
2.09,134.97,140.66
2.10,134.97,140.18
2.10,134.97,139.81
2.11,134.97,139.42
2.11,134.97,139.04
2.12,134.97,138.95
2.12,134.97,138.95
2.13,134.97,138.44
2.13,134.98,138.40
2.14,134.98,137.86
2.14,134.98,136.85
2.15,134.98,136.91
2.15,134.98,136.58
2.16,134.98,136.13
2.16,134.98,135.77
2.17,134.98,135.11
2.17,134.98,134.92
2.18,134.98,134.61
2.18,134.98,134.65
2.19,134.98,134.39
2.19,134.98,133.92
2.20,134.98,133.90
2.21,134.98,133.63
2.21,134.98,133.61
2.22,134.98,133.59
2.22,134.98,133.13
2.23,134.98,132.20
2.23,134.98,131.83
2.24,134.98,131.75
2.24,134.98,131.60
2.25,134.98,130.97
2.26,134.98,130.57
2.26,134.98,130.21
2.27,134.98,130.13
2.27,134.98,130.13
2.28,134.99,130.10
2.28,134.99,130.35
2.29,134.99,130.42
2.29,134.99,130.58
2.30,134.99,129.78
2.31,134.99,129.55
2.31,134.99,129.44
2.32,134.99,129.73
2.32,134.99,129.15
2.33,134.99,128.92
2.33,134.99,129.30
2.34,134.99,129.20
2.34,134.99,129.91
2.35,134.99,130.35
2.35,134.99,130.11
2.36,134.99,130.27
2.36,134.99,129.66
2.37,134.99,130.26
2.37,134.99,130.01
